name,abbr,mapped_abbr
centro de pesquisa agroflorestal de roraima,cpaf rr,embrapa rr
centro de pesquisa agroflorestal de rondonia,cpafro ro,embrapa ro
centro universitario de araraquara,uniara,uniara
centro universitario de anapolis,unievangelica,unievangelica
centro universitario de anapolis,unievangel,unievangelica
centro universitario das faculdades metropolitanas unidas,fmu,fmu
centro universitario da fundacao herminio ometto,fho,fho
centro universitario da fei,fei,fei
centro universitario curitiba,unicuritiba,unicuritiba
centro universitario curitiba,unicuritib,unicuritiba
centro universitario christus,unichristus,unichristus
centro universitario cesmac,cesmac,cesmac
centro universitario campos de andrade,uniandrade,uniandrade
centro universitario campo limpo paulista,unifaccamp,unifaccamp
centro universitario autonomo do brasil,unibrasil,unibrasil
centro universitario augusto motta,unisuam,unisuam
centro universitario de maceio,unima,unima
centro universitario de joao pessoa,unipe,unipe
centro universitario de franca,unifacef,unifacef
centro universitario de brasilia,uniceub,uniceub
centro universitario de bauru,ite,ite
centro universitario alves faria,unialfa,unialfa
centro de pesquisa aggeu magalhaes fiocruz,nesc cpqam,fiocruz cpqam
centro de ensino superior de juiz de fora,ces jf,uniacademia
centro de desenvolvimento da tecnologia nuclear,cdtn,cdtn
centro brasileiro de pesquisas fisicas,cbpf,cbpf
centro brasileiro de estudos latinoamericanos,cebela,cbeal
atitus educacao sa,atitus,atitus
atitus educacao,atitus,atitus
associacao instituto tecnologico vale desenvolvimento sustentavel,itv ds,itv ds
associacao instituto nacional de matematica pura e aplicada,impa,impa
centro de pesquisa agropecuaria de mato grosso,embrapa cpamt,embrapa mt
centro universitario senai cimatec,senaicimatec,senai cimatec
centro universitario senac,senacsp,senacsp
centro universitario saude abc,fmabc,fmabc
centro universitario sao camilo,cusc,cusc
centro universitario salesiano de sao paulo,unisal,unisal
centro universitario sagrado coracao,unisagrado,unisagrado
centro universitario ritter dos reis,uniritter,uniritter
centro universitario municipal de franca,unifacef,unifacef
centro universitario moura lacerda,cuml,cuml
centro universitario metodista ipa,ipa,metodista ipa
centro universitario lusiada,unilus,unilus
centro universitario la salle,unilasalle,unilasalle
centro universitario internacional,uninter,uninter
centro universitario inta,uninta,uninta
centro universitario herminio ometto,uniararas,fho
centro universitario franciscano do parana,unifaesc,unifae pr
embrapa recursos geneticos e biotecnologia,cenargen,embrapa cenargen
embrapa centro nacional de pesquisa do algodao,embrapacnpa,embrapa cnpa
embrapa centro de pesquisa agroflorestal do acre cpafac,embrapacpafac,embrapa ac
embrapa centro de pesquisa agroflorestal de roraima,embrapacpaf rr,embrapa rr
embrapa amazonia oriental,embrapacpatu,embrapa cpatu
embrapa amazonia oriental,embrapa cpatu,embrapa cpatu
embrapa amazonia ocidental,embrapacpaa,embrapa cpaa
embrapa amazonia ocidental,embrapa,embrapa cpaa
coordenadoria controle de doencas da sec est da saude de sp,ccd ses,ccd ses
ceumaassociacao de ensino superior,uniceuma,uniceuma
ceuma assocensino superior mantenedora,uniceuma,uniceuma
centro universitario univel,univel,univel
centro universitario unihorizontes,unihorizontes,unihorizontes
centro universitario una,una,una
centro universitario toledo,unitoledo,unitoledo
centro universitario tiradentes,unit alagoas,unit al
escola superior do instituto butantan,esib,ibu
escola superior de teologia,est,est
escola superior de propaganda e marketing,espm,espm
escola superior de guerra,esg,esg
escola superior de ciencias da saude,fepecsescs,fepecsescs
escola superior de ciencias da santa casa de misericordia de vitoria,emescam,emescam
escola super de cienc da st casa de misericordia de vitoria,emescam,emescam
escola nacional de ciencias estatisticas,ence,ence
escola de engenharia de lorena,usp eel,usp eel
escola de direito de sao paulo,fgv direito sp,fgv sp
escola de direito de sao paulo,fgv direit,fgv sp
escola de comando e estadomaior do exercito,eceme,eceme
escola bahiana de medicina e saude publica,ebmsp,ebmsp
empresa brasileira de pesquisa agropecuariamatriz,embrapamatriz,embrapa
empresa brasileira de pesquisa agropecuariamatriz,embrapa,embrapa
embrapaamapa centro de pesquisa agroflorestal do amapa,embrapacpafap,embrapa ap
faculdade de medicina de jundiai,fmj,fmj
faculdade de inhumas,facmais,facmais
faculdade de engenharia quimica de lorena,faenquil,usp eel
faculdade de direito milton campos,fdmc,fdmc
faculdade de direito do sul de minas,fdsm,fdsm
faculdade de direito de vitoria,fdv,fdv
faculdade de direito de campos,fdc,fdc
faculdade de direito da fundacao escola superior do ministerio publico,fmp,fmp
faculdade de ciencias medicas de minas gerais,fcmmg,fcmmg
faculdade de ciencias medicas da sta casa de sao paulo,fcmscsp,fcmscsp
faculdade de ciencias medicas da santa casa de sao paulo,fcmscspti,fcmscsp
faculdade damas da instrucao crista,fadic,fadic
faculdade casper libero,fcl,fcl
faculdade campo limpo paulista,faccamp,unifaccamp
faculdade autonoma de direito,fadisp,fadisp
escola superior dom helder camara,esdhc,esdhc
faculdade santa marcelina,fasm,fasm
faculdade santa casa de belo horizonte,fscbh,fscbh
faculdade rodolfo teofilo,frt,frt
faculdade novos horizontes,fnh,fnh
faculdade meridional,imed,imed
faculdade jesuita de filosofia e teologia,faje,faje
faculdade israelita de ciencias da saude albert einstein,ficsae,ficsae
faculdade guanambi,fg,unifg
faculdade evangelica mackenzie do parana,fempar,fempar
faculdade evangelica do parana,fepar,fempar
faculdade escola paulista de direito,facepd,facepd
faculdade de tecnologia senai cimatec,cimatec,senai cimatec
faculdade de sao bento,fsb,fsb
faculdade de medicina do abc,fmabc,fmabc
faculdade de medicina de sao jose do rio preto,famerp,famerp
faculdade de medicina de marilia,famema,famema
fundacao antonio prudente hospital a c camargo,fap,fap
fund jorge duprat figueiredo de seguranca e med do trabalho,fundacentr,fundacentr
fucape pesquisa ensino e participacoes limitada ma,fucapema,fucape ma
fucape pesquisa ensino e participacoes limitada,fucapema,fucape ma
fucape pesquisa e ensino s a ma,fucapema,fucape ma
fucape pesquisa e ensino s a es,fucape,fucape
fucape pesquisa e ensino limitada ma,fucapema,fucape ma
fucape fundacao de pesquisa e ensino,fucape,fucape
fiocruz rondonia,fiocruzro,fiocruz ro
fiocruz rondonia,fiocruz ro,fiocruz ro
fiocruz centro de pesquisas rene rachou,fiocruzcpqrr,fiocruz cpqrr
fiocruz centro de pesquisa leonidas e maria deane,fiocruzcpqlmd,fiocruz cpqlmd
fiocruz centro de pesquisa goncalo moniz,fiocruzcpqgm,fiocruz cpqgm
fiocruz centro de pesquisa aggeu magalhaes,fiocruznesc cpqam,fiocruz cpqam
faculdades pequeno principe,fpp,fpp
faculdades integradas de taquara,faccatrs,faccatrs
fundacao santa casa de misericordia de belo horizonte,scmbh,fscbh
fundacao pio xii hospital de cancer de barretos,hcb,hcb
fundacao oswaldo cruz fiocruz,fiocruz,fiocruz
fundacao oswaldo cruz,fiocruz,fiocruz
fundacao joaquim nabuco,fundaj,fundaj
fundacao joaquim nabuco,fjn,fundaj
fundacao joao pinheiro escola de governo,fjp,fjp
fundacao instituto capixaba de pesquisas em contabilidade economia e financas,fucape,fucape
fundacao instituto capixaba de pesqem contecone financas,fucape,fucape
fundacao getulio vargas sp,fgv sp,fgv sp
fundacao getulio vargas rj,fgv rj,fgv rj
fundacao getulio vargas brasilia,fgv bsb,fgv bsb
fundacao estadual de pesquisa agropecuaria,fepagro,fepagro
fundacao educacional de criciuma,unesc,unesc
fundacao de ensino euripides soares da rocha,feesr,univem
fundacao antonio prudente hospital accamargo,fap,fap
fundacao vale do taquari de educacao e desenvolvimento social fuvates,univates,univates
fundacao vale do taquari de educacao e desenvolvimento socia,univates,univates
fundacao universitaria de cardiologia,fuc,fuc
fundacao universidade federal do tocantins palmas,uftpalmas,uft palmas
fundacao universidade federal do tocantins,uft,uft
fundacao universidade federal do piaui,fufpi,ufpi
fundacao universidade federal do pampa,unipampa,unipampa
fundacao universidade federal do abc,ufabc,ufabc
fundacao universidade federal de sergipe itabaiana,fufse itab,ufs itab
fundacao universidade federal de sergipe,fufse,ufs
fundacao universidade federal de roraima,ufrr,ufrr
fundacao universidade federal de mato grosso do sul,ufms,ufms
fundacao universidade estadual do piaui fuespi,uespi,uespi
fundacao universidade de pernambuco,fesp upe,upe
fundacao universidade de passo fundo,fupf,upf
fundacao univ federal de ciencias da saude de porto alegre,ufcspa,ufcspa
instituto butantan,ibu,ibu
instituto brasiliense de direito publico,idp,idp
instituto brasileiro de estudos tributarios,ibet,ibet
instituto brasileiro de ensino desenvolvimento e pesquisa,idp,idp
instituto biologico,ibsp,ibsp
instituto agronomico do parana,iapar,iapar
instituto agronomico de campinas,iac,iac
instituto agronomico,iac,iac
instituicao toledo de ensino,ite,ite
institfederal de educacao ciencia e tecndo maranhao mc,ifma mc,ifma mc
instit nac metrologia normalizacao e qualidade industrial,inmetro,inmetro
inst de prev dos servidores do estado de minas gerais,ipsemg,ipsemg
inst de ensino e pesquisa da santa casa de belo horizonte,iepsc,fscbh
insper instituto de ensino e pesquisa,insper,insper
hospital heliopolis,hosphel,hosphel
fundacao visconde de cairu,fvc,fvc
instituto de pesquisa jardim botanico do rio de janeiro,jbrj,jbrj
instituto de pesca apta sec de agr e abast sp,ip,ip
instituto de medicina integral professor fernando figueira,imip,imip
instituto de fisica teorica unesp,ift unesp,unesp ift
instituto de estudos do mar almirante paulo moreira,ieapm,ieapm
instituto de estudos avancados,ieav,ieav
instituto de ensino e pesquisa da santa casa de belo horizonte,iepsc,fscbh
instituto de ensino e pesquisa alberto santos dumont,iepasd,isd
instituto de ensino e pesquisa,insper,insper
instituto de engenharia nuclear,ien,ien
instituto de educacao tecnologica,ietec,ietec
instituto de botanica,ibt,ibt
instituto de biologia do exercito,ibex,ibex
instituto de assist medica ao servidor publico estadual,iamspe,iamspe
instituto de aeronautica e espaco,iae,iae
instituto d or de pesquisa e ensino,idor,idor
instituto federal de educacao ciencia e tecnologia da paraiba,ifpb,ifpb
instituto federal de educacao ciencia e tecnologia da bahia,ifba,ifba
instituto federal de educacao ciencia e tecnologia catarinense,ifc,ifc
instituto federal de educacao ciencia e tecn de sao paulo,ifsp,ifsp
instituto federal de educacao ciencia e tecn da paraiba,ifpb,ifpb
instituto federal de educ ciencia e tecnologia do parana,ifpr,ifpr
instituto fed de educacao ciencia e tecnologica de roraima,ifrr,ifrr
instituto fed de educ cienc e tecnologia de mato grosso,ifmt,ifmt
instituto fed de educ cien e tecn do rio grande do norte,ifrn,ifrn
instituto evandro chagas,iec,iec
instituto de zootecnia iz aptasaa sp,iz apta,iz
instituto de tecnologia de alimentos,ital,ital
instituto de radioprotecao e dosimetria,ird,ird
instituto de pesquisas jardim botanico do rio de janeiro,jbrj,jbrj
instituto de pesquisas cientificas e tecnologicas do estado do amapa,iepa,iepa
instituto de pesquisas ambientais,ipa,ipa
instituto nacional da propriedade industrial,inpi,inpi
instituto militar de engenharia,ime,ime
instituto federal de educacao ciencia e tecnologia goiano,ifgoiano,ifgoiano
instituto federal de educacao ciencia e tecnologia do rio grande do norte,ifrn,ifrn
instituto federal de educacao ciencia e tecnologia do rio de janeiro,ifrj,ifrj
instituto federal de educacao ciencia e tecnologia do piaui,ifpi,ifpi
instituto federal de educacao ciencia e tecnologia do maranhao monte castelo,ifma mc,ifma mc
instituto federal de educacao ciencia e tecnologia do maranhao mc,ifma mc,ifma mc
instituto federal de educacao ciencia e tecnologia do maranhao,ifma,ifma
instituto federal de educacao ciencia e tecnologia do espirito santo,ifes,ifes
instituto federal de educacao ciencia e tecnologia do espir,ifes,ifes
instituto federal de educacao ciencia e tecnologia do ceara,ifce,ifce
instituto federal de educacao ciencia e tecnologia de sao paulo,ifsp,ifsp
instituto federal de educacao ciencia e tecnologia de roraima,ifrr,ifrr
instituto federal de educacao ciencia e tecnologia de mato grosso,ifmt,ifmt
instituto federal de educacao ciencia e tecnologia de goias,ifg,ifg
pontificia universidade catolica de goias,pucgoias,puc goias
pontificia universidade catolica de campinas,puccamp,puc camp
observatorio nacional,on,on
museu paraense emilio goeldi,mpeg,mpeg
laboratorio nacional de computacao cientifica,lncc,lncc
laboratorio central de saude publica de rondonia,lacen ro,lacen ro
instituto universitario de pesquisa do rio de janeiro,iuperj,iuperj
instituto tecnologico de aeronautica,ita,ita
instituto superior de teologia aplicada,inta,uninta
instituto siriolibanes de ensino e pesquisa,iep,iep
instituto nacional de telecomunicacoes,inatel,inatel
instituto nacional de pesquisas espaciais,inpe,inpe
instituto nacional de pesquisas da amazonia,inpa,inpa
instituto nacional de metrologia normalizacao e qualidade industrial,inmetro,inmetro
instituto nacional de cancer jose alencar gomes da silva,inca,inca
instituto nacional de cancer,inca,inca
univde sao paulo escola sup de agricultura luiz de queiroz,usp esalq,usp esalq
univ regional integrada do alto uruguai e das missoes,uri,uri
univ regional do noroeste do estado do rio grande do sul,unijui,unijui
univ de sao paulo centro de energ nucl agricultura,usp cena,usp cena
univ da integracao internac da lusofonia afrobrasileira,unilab,unilab
uniceuma associacao de ensino superior mantenedora,uniceuma,uniceuma
uniao pioneira de integracao social,upis,upis
sociedade brasileira de fisiologia,sbfis,sbfis
sociedade brasileira de bioquimica e biologia molecular,sbbq,sbbq
sociedade beneficente israelita brasileira albert einstein,sbibae,ficsae
secretaria do meio ambiente e infraestrutura,sema,sema
pontificia universidade catolica do rio grande do sul,puc rs,puc rs
pontificia universidade catolica do rio de janeiro,pucrio,puc rio
pontificia universidade catolica do parana,puc pr,puc pr
pontificia universidade catolica de sao paulo,puc sp,puc sp
pontificia universidade catolica de minas gerais,puc mg,puc mg
universidade catolica do salvador,ucsal,ucsal
universidade catolica de santos,unisantos,unisantos
universidade catolica de petropolis,ucp rj,ucp rj
universidade catolica de pernambuco,unicap,unicap
universidade catolica de pelotas,ucpel,ucpel
universidade catolica de brasilia,ucbtag,ucb
universidade catolica de brasilia,ucb,ucb
universidade castelo branco,ucb rj,ucb rj
universidade candido mendes,ucam,ucam
universidade camilo castelo branco,unicastelo,univbrasil
universidade braz cubas,ubc,ubc
universidade brasil,univbrasil,univbrasil
universidade anhembi morumbi,uam,uam
universidade anhanguera de sao paulo,uniansp,anhanguera sp
universidade anhanguera,uniderp,uniderp
universidade alto vale do rio do peixe,uniarp,uniarp
universidade de fortaleza,unifor,unifor
universidade de cuiaba,unic,unic
universidade de cruz alta,unicruz,unicruz
universidade de caxias do sul,ucs,ucs
universidade de brasilia,unb,unb
universidade de araraquara,uniara,uniara
universidade da regiao de joinville,univille,univille
universidade da integracao internacional da lusofonia afrobrasileira males,unilabmales,unilab males
universidade da integracao internacional da lusofonia afrobrasileira,unilab,unilab
universidade da amazonia,unama,unama
universidade cruzeiro do sul,unicsul,unicsul
universidade comunitaria da regiao de chapeco,unochapeco,unochapeco
universidade cidade de sao paulo,unicid,unicid
universidade ceuma,uniceuma,uniceuma
universidade cesumar,unicesumar,unicesumar
universidade catolica dom bosco,ucdb,ucdb
universidade de sao paulo usp each,usp each,usp each
universidade de sao paulo sao carlos,usp sc,usp sc
universidade de sao paulo ribeirao preto,usp rp,usp rp
universidade de sao paulo fac odontologia de bauru,usp fob,usp fob
universidade de sao paulo each,each,usp each
universidade de sao paulo,usp,usp
universidade de santo amaro,unisa,unisa
universidade de santa cruz do sul,unisc,unisc
universidade de rio verde,unirv,fesurv
universidade de rio verde,fesurv,fesurv
universidade de ribeirao preto,unaerp,unaerp
universidade de pernambuco,upe,upe
universidade de mogi das cruzes,umc,umc
universidade de marilia,unimar,unimar
universidade de itauna,ui,ui
universidade de franca,unifran,unifran
universidade do extremo sul catarinense,unesc,unesc
universidade do estado do rio grande do norte,uern,uern
universidade do estado do rio de janeiro zona oeste,uerjzo,uerj zo
universidade do estado do rio de janeiro,uerj,uerj
universidade do estado do para,uepa,uepa
universidade do estado do amazonas,uea,uea
universidade do estado do amapa,ueap,ueap
universidade do estado de santa catarina,udesc,udesc
universidade do estado de minas gerais,uemg,uemg
universidade do estado de mato grosso,unemat,unemat
universidade do estado da bahia,uneb,uneb
universidade do contestado,unc,unc
universidade de vassouras,uss,uss
universidade de uberaba,uniube,uniube
universidade de taubate,unitau,unitau
universidade de sorocaba,uniso,uniso
universidade estadual de campinas piracicaba,unicamp pi,unicamp pi
universidade estadual de campinas limeira,unicamp li,unicamp li
universidade estadual de campinas,unicamp,unicamp
universidade estadual de alagoas,uneal,uneal
universidade estadual da paraiba,uepb,uepb
universidade estacio de sa,unesa,unesa
universidade do vale do sapucai,univas,univas
universidade do vale do rio dos sinos,unisinos,unisinos
universidade do vale do paraiba,univap,univap
universidade do vale do itajai,univali,univali
universidade do sul de santa catarina,unisul,unisul
universidade do sagrado coracao,usc,unisagrado
universidade do planalto catarinense,uniplac sc,uniplac sc
universidade do oeste paulista,unoeste,unoeste
universidade do oeste de santa catarina,unoesc,unoesc
universidade do grande rio prof jose de souza herdy,unigranrio,unigranrio
universidade estadual do oeste do parana,unioeste,unioeste
universidade estadual do norte fluminense darcy ribeiro,uenf,uenf
universidade estadual do norte do parana,uenp,uenp
universidade estadual do maranhao,uema,uema
universidade estadual do centrooeste,unicentro,unicentro
universidade estadual do ceara,uece,uece
universidade estadual de santa cruz,uesc,uesc
universidade estadual de roraima,uerr,uerr
universidade estadual de ponta grossa,uepg,uepg
universidade estadual de montes claros,unimontes,unimontes
universidade estadual de mato grosso do sul,uems,uems
universidade estadual de maringa,uem,uem
universidade estadual de londrina,uel,uel
universidade estadual de goias,ueg,ueg
universidade estadual de feira de santana,uefs,uefs
universidade estadual de ciencias da saude de alagoas,uncisal,uncisal
universidade estadual paulista julio de mesquita filho ilha solteira,unespis,unesp is
universidade estadual paulista julio de mesquita filho ilh,unespis,unesp is
universidade estadual paulista julio de mesquita filho guaratingueta,unespguar,unesp guar
universidade estadual paulista julio de mesquita filho franca,unespfr,unesp fr
universidade estadual paulista julio de mesquita filho botucatu,unespbot,unesp bot
universidade estadual paulista julio de mesquita filho bauru,unespbauru,unesp bau
universidade estadual paulista julio de mesquita filho bau,unespbaur,unesp bau
universidade estadual paulista julio de mesquita filho assis,unespassis,unesp ass
universidade estadual paulista julio de mesquita filho araraquara,unesparar,unesp arar
universidade estadual paulista julio de mesquita filho aracatuba,unesparac,unesp arac
universidade estadual julio de mesquita filho sao joao da boa vista,unespsjbv,unesp sjbv
universidade estadual do sudoeste da bahia,uesb,uesb
universidade estadual do rio grande do sul,uergs,uergs
universidade estadual do parana reitoria,unesparreitoria,unespar
universidade estadual do parana reitoria,unespar,unespar
universidade estadual do parana paranagua fafipar,unesparfafipar,unespar fafipar
universidade estpaulista julio de mesquita filho,unesp,unesp
universidade estadual vale do acarau,uvace,uvace
universidade estadual paulista julio de mesquita filho tupa,unesptupa,unesp tupa
universidade estadual paulista julio de mesquita filho sorocaba,unespsor,unesp sor
universidade estadual paulista julio de mesquita filho sede,unespreitoria,unesp
universidade estadual paulista julio de mesquita filho sao vicente,unespsv,unesp sv
universidade estadual paulista julio de mesquita filho sao jose dos campos,unespsjc,unesp sjc
universidade estadual paulista julio de mesquita filho sao jose do rio preto,unespsjrp,unesp sjrp
universidade estadual paulista julio de mesquita filho sao,unespsjrp,unesp sjrp
universidade estadual paulista julio de mesquita filho rio claro,unesprc,unesp rc
universidade estadual paulista julio de mesquita filho rio,unesprc,unesp rc
universidade estadual paulista julio de mesquita filho presidente prudente,unesppp,unesp pp
universidade estadual paulista julio de mesquita filho pre,unesppp,unesp pp
universidade estadual paulista julio de mesquita filho marilia,unespmar,unesp mar
universidade estadual paulista julio de mesquita filho jaboticabal,unespjab,unesp jab
universidade estadual paulista julio de mesquita filho instituto de fisica teorica,unespift,unesp ift
universidade estpaulista julio de mesquita filho svicente,unesp sv,unesp sv
universidade estpaulista julio de mesquita filho sorocaba,unesp sor,unesp sor
universidade estpaulista julio de mesquita filho sjr preto,unesp sjrp,unesp sjrp
universidade estpaulista julio de mesquita filho sjcampos,unesp sjc,unesp sjc
universidade estpaulista julio de mesquita filho rio claro,unesp rc,unesp rc
universidade estpaulista julio de mesquita filho prprudente,unesp pp,unesp pp
universidade estpaulista julio de mesquita filho marilia,unesp mar,unesp mar
universidade estpaulista julio de mesquita filho jaboticab,unesp jab,unesp jab
universidade estpaulista julio de mesquita filho ilha solt,unesp is,unesp is
universidade estpaulista julio de mesquita filho guarat,unesp guar,unesp guar
universidade estpaulista julio de mesquita filho franca,unesp fr,unesp fr
universidade estpaulista julio de mesquita filho botucatu,unesp bot,unesp bot
universidade estpaulista julio de mesquita filho bauru,unesp bau,unesp bau
universidade estpaulista julio de mesquita filho assis,unesp ass,unesp ass
universidade estpaulista julio de mesquita filho araraquara,unesp arar,unesp arar
universidade estpaulista julio de mesquita filho aracatuba,unesp arac,unesp arac
universidade federal de campina grande,ufcg,ufcg
universidade federal de alfenas,unifalmg,unifal
universidade federal de alfenas,unifal,unifal
universidade federal de alagoas,ufal,ufal
universidade federal da paraiba rio tinto,ufpbrt,ufpb rt
universidade federal da paraiba rio tinto,ufpb rt,ufpb rt
universidade federal da paraiba joao pessoa,ufpbjp,ufpb
universidade federal da paraiba joao pessoa,ufpb jp,ufpb
universidade federal da paraiba bananeiras,ufpb bananeiras,ufpb bananeiras
universidade federal da paraiba areia,ufpb areia,ufpb areia
universidade federal da integracao latinoamericana,unila,unila
universidade federal da grande dourados,ufgd,ufgd
universidade federal da fronteira sul,uffs,uffs
universidade federal da bahia,ufba,ufba
universidade evangelica de goias,unievangelica,unievangelica
universidade estpaulista julio de mesquita filho tupa,unesp tupa,unesp tupa
universidade federal de santa catarina blumenau,ufsc blumenau,ufsc blumenau
universidade federal de santa catarina,ufsc,ufsc
universidade federal de rondonopolis,ufr,ufr
universidade federal de rondonia,unir,unir
universidade federal de pernambuco,ufpe,ufpe
universidade federal de pelotas,ufpel,ufpel
universidade federal de ouro preto,ufop,ufop
universidade federal de minas gerais,ufmg,ufmg
universidade federal de mato grosso,ufmt,ufmt
universidade federal de lavras,ufla,ufla
universidade federal de juiz de fora governador valadares,ufjfgv,ufjf gv
universidade federal de juiz de fora,ufjf,ufjf
universidade federal de jatai,ufj,ufj
universidade federal de itajuba,unifei,unifei
universidade federal de goias,ufg,ufg
universidade federal de catalao,ufcat,ufcat
universidade federal do ceara,ufc,ufc
universidade federal do cariri,ufca,ufca
universidade federal do amazonas,ufam,ufam
universidade federal do amapa,unifap,unifap
universidade federal do agreste de pernambuco,ufape,ufape
universidade federal do acre,ufac,ufac
universidade federal do abc,ufabc,ufabc
universidade federal de vicosa,ufv,ufv
universidade federal de uberlandia,ufu,ufu
universidade federal de sergipe itabaiana,ufs itab,ufs itab
universidade federal de sergipe,ufs,ufs
universidade federal de sao paulo,unifesp,unifesp
universidade federal de sao joao delrei,ufsj,ufsj
universidade federal de sao carlos,ufscar,ufscar
universidade federal de santa maria,ufsm,ufsm
universidade federal de santa catarina curitibanos,ufsccuritibanos,ufsc curitibanos
universidade federal do rio grande do sul,ufrgs,ufrgs
universidade federal do rio grande do norte,ufrn,ufrn
universidade federal do rio grande,furg,furg
universidade federal do rio de janeiro,ufrj,ufrj
universidade federal do reconcavo da bahia,ufrb,ufrb
universidade federal do parana,ufpr,ufpr
universidade federal do para castanhal,ufpa castanhal,ufpa castanhal
universidade federal do para,ufpa,ufpa
universidade federal do oeste do para,ufopa,ufopa
universidade federal do oeste da bahia,ufob,ufob
universidade federal do norte do tocantins ufnt,ufnt,ufnt
universidade federal do norte do tocantins,ufnt,ufnt
universidade federal do maranhao,ufma,ufma
universidade federal do estado do rio de janeiro,unirio,unirio
universidade federal do espirito santo,ufes,ufes
universidade federal do delta do parnaiba,ufdpar,ufdpar
universidade franciscana,ufn,ufn
universidade feevale,feevale,feevale
universidade federal rural do semiarido,ufersa,ufersa
universidade federal rural do rio de janeiro nova iguacu,ufrrj ni,ufrrj ni
universidade federal rural do rio de janeiro,ufrrj,ufrrj
universidade federal rural de pernambuco,ufrpe,ufrpe
universidade federal rural da amazonia,ufra,ufra
universidade federal fluminense,uff,uff
universidade federal dos vales do jequitinhonha e mucuri,ufvjm,ufvjm
universidade federal do vale do sao francisco,univasf,univasf
universidade federal do triangulo mineiro,uftm,uftm
universidade federal do tocantins,uft,uft
universidade federal do sul e sudeste do para,unifesspa,unifesspa
universidade federal do sul da bahia,ufsb,ufsb
universidade federal do sul da bahia,ufesba,ufsb
universidade federal do rio grande do sul litoral,ufrgslitoral,ufrgs litoral
universidade paulista,unip,unip
universidade paranaense,unipar,unipar
universidade nove de julho,uninove,uninove
universidade norte do parana,unopar,unopar
universidade nilton lins,uninilton,uninilton
universidade municipal de sao caetano do sul,uscs,uscs
universidade metropolitana de santos,unimes,unimes
universidade metodista de sao paulo,umesp,umesp
universidade metodista de piracicaba,unimep,unimep
universidade luterana do brasil,ulbra,ulbra
universidade la salle,unilasalle,unilasalle
universidade jose do rosario vellano,unifenas,unifenas
universidade ibirapuera,unib,unib
universidade guarulhos,ung,univeritas ung
universidade gama filho,ugf,ugf
universidade fumec,fumec,fumec
universidade sao marcos,usm,usm
universidade sao judas tadeu,usjt,usjt
universidade sao francisco,usf,usf
universidade santa ursula,usu,usu
universidade santa cecilia,unisanta,unisanta
universidade salvador,unifacs,unifacs
universidade salgado de oliveira,universo,universo
universidade regional integrada do alto uruguai e das missoes,uri,uri
universidade regional do cariri,urca,urca
universidade regional de blumenau,furb,furb
universidade professor edson antonio velano,unifenas,unifenas
universidade presidente antonio carlos,unipac,unipac
universidade presbiteriana mackenzie,upm,upm
universidade potiguar,unp,unp
universidade positivo,up,up
universidade pitagoras unopar,unopar,unopar
centro universitario assuncao,unifai,unifai
centro universitario anhanguera de sao paulo,anhanguerasp,anhanguera sp
usp faculdade de odontologia de bauru,usp fob,usp fob
usp escola superior de agricultura luiz de queiroz,usp esalq,usp esalq
usp centro de energia nuclear na agricultura,usp cena,usp cena
universidae do estado do amapa,ueap,ueap
universidade vila velha,uvv,uvv
universidade veiga de almeida,uva,uva
universidade vale do rio verde,unincor,unincor
universidade vale do rio doce,univale,univale
universidade universus veritas guarulhos,univeritas ung,univeritas ung
universidade tuiuti do parana,utp,utp
universidade tiradentes,unitse,unit se
universidade tecnologica federal do parana cornelio procopio,utfprcp,utfpr cp
universidade tecnologica federal do parana,utfpr,utfpr
universidade severino sombra,uss,uss
centro universitario franciscano do parana,unifaepr,unifae pr
centro universitario franciscano,unifra,ufn
centro universitario fieo,unifieo,unifieo
centro universitario fg,unifg,unifg
centro universitario fecap,unifecap,unifecap
centro universitario euroamericano,unieuro,unieuro
centro universitario euripedes de marilia,univem,univem
centro universitario estadual da zona oeste,uezo,uerj zo
centro universitario do triangulo,unitri,unitri
centro universitario do sul de minas,unismg,unismg
centro universitario do leste de minas gerais,unileste,unileste
centro universitario do instituto maua de tecnologia,ceunimt,ceunimt
centro universitario do estado do para,cesupa,cesupa
centro universitario do distrito federal,udf,udf
centro universitario de varzea grande,univag,univag
centro universitario de maringa,unicesumar,unicesumar
centro de pesquisa em saude animal,ipvdf,ipvdf
centro de pesquisa goncalo moniz fiocruz,cpqgm,fiocruz cpqgm
centro de pesquisa leonidas e maria deane fiocruz,cpqlmd fiocruz,fiocruz cpqlmd
centro de pesquisas odontologicas sao leopoldo mandic,slmandic,slmandic
centro de pesquisas rene rachou fiocruz,cpqrr,fiocruz cpqrr
centro federal de educacao tecn celso suckow da fonseca,cefet rj,cefet rj
centro federal de educacao tecn de minas gerais,cefet mg,cefet mg
centro federal de educacao tecnologica de minas gerais,cefetmg,cefet mg
centro nacional de monitoramento e alertas de desastres naturais,cemaden,cemaden
centro pesq goncalo moniz fiocruz,cpqgm,fiocruz cpqgm
centro univers das faculdades associadas de ensino fae,unifaesp,unifae sp
centro universitario 7 de setembro,uni7,uni7
centro universitario academia,uniacademia,uniacademia
associacao das pioneiras sociais,aps,aps
universidade de sp,usp,usp
universidade de sao pauloscar,usp,usp sc
universidade de sao pauloscarlos,uspscarlos,usp sc
universidade de sao paulosp,usp,usp
universidade de sao paulosp,uspsp,usp
